Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Scolecithricella_vittata	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	FG3	1.7052	2	1	Free	Omnivore-Detritivore	Current
Scolecithricella_sp	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	NA	NA	NA	1	Free	Omnivore-Detritivore	Current
Scolecithrix_bradyi	Copepoda	Calanoida	Scolecitrichidae	Scolecithrix	FG3	1.25852941176471	1.61	1	Free	Omnivore-Detritivore	NA
Scolecithrix_danae	Copepoda	Calanoida	Scolecitrichidae	Scolecithrix	FG3	2.09655737704918	2.52	1	Free	Omnivore-Detritivore	NA
Scolecitrichopsis_ctenopus	Copepoda	Calanoida	Scolecitrichidae	Scolecitrichopsis	NA	1.47666666666667	1.65	1	Free	NA	NA
Spinocalanus_abyssalis	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	1.32428571428571	1.89	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_antarcticus	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	2.518	3.15	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_brevicaudatus	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	1.74	2.4	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_elongatus	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	1.675	1.8	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_longicornis	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	1.07727272727273	1.3	1	Free	Omnivore-Detritivore	Current-Cruise
Spinocalanus_magnus	Copepoda	Calanoida	Spinocalanidae	Spinocalanus	FG3	2.55212121212121	3.1	1	Free	Omnivore-Detritivore	Current-Cruise
