Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Lophothrix_latipes	Copepoda	Calanoida	Scolecitrichidae	Lophotrix	NA	3.01814814814815	3.3	1	Free	NA	NA
Lubbockia_squillimana	Copepoda	Cyclopoida	Lubbockiidae	Lubbockia	NA	1.4812	2	0	Sac	NA	NA
Lucicutia_clausi	Copepoda	Calanoida	Lucicutiidae	Lucicutia	FG7	1.86590909090909	2.16	0	Free	Omnivore	Current
Lucicutia_flavicornis	Copepoda	Calanoida	Lucicutiidae	Lucicutia	FG9	1.61365714285714	2.5	0	Free	Omnivore	Current
Lucicutia_gaussae	Copepoda	Calanoida	Lucicutiidae	Lucicutia	FG9	1.39954545454545	1.6	0	Free	Omnivore	Current
Lucicutia_gemina	Copepoda	Calanoida	Lucicutiidae	Lucicutia	FG9	1.648	1.9	0	Free	Omnivore	Current
Lucicutia_ovalis	Copepoda	Calanoida	Lucicutiidae	Lucicutia	FG9	1.5947619047619	2	0	Free	Omnivore	Current
Lucicutia_sp	Copepoda	Calanoida	Lucicutiidae	Lucicutia	NA	NA	NA	0	Free	Omnivore	Current
Macrosetella_gracilis	Copepoda	Harpacticoida	Miraciidae	Macrosetella	FG1	1.40090909090909	1.8	0	Sac	Omnivore-Herbivore	Cruise
Mecynocera_clausi	Copepoda	Calanoida	Paracalanidae	Mecynocera	FG7	1.03948	1.29	1	Free	Omnivore-Herbivore	Current
Mesocalanus_tenuicornis	Copepoda	Calanoida	Calanidae	Mesocalanus	FG7	2.02703703703704	3.4	1	Free	Omnivore-Herbivore	Current
Metridia_brevicauda	Copepoda	Calanoida	Metridinidae	Metridia	FG3	1.93333333333333	2.25	0	Free	Omnivore	Cruise
Metridia_curticauda	Copepoda	Calanoida	Metridinidae	Metridia	FG3	2.96526315789474	3.8	0	Free	Omnivore	Cruise
Metridia_gerlachei	Copepoda	Calanoida	Metridinidae	Metridia	FG3	3.7725	4.3	0	Free	Omnivore	Cruise
Metridia_longa	Copepoda	Calanoida	Metridinidae	Metridia	FG3	3.86266666666667	4.8	0	Free	Omnivore	Cruise
Metridia_lucens	Copepoda	Calanoida	Metridinidae	Metridia	FG3	2.613	2.8	0	Free	Omnivore	Cruise
Metridia_okhotensis	Copepoda	Calanoida	Metridinidae	Metridia	FG3	4.41	4.8	0	Free	Omnivore	Cruise
Metridia_pacifica	Copepoda	Calanoida	Metridinidae	Metridia	FG3	2.94727272727273	3.45	0	Free	Omnivore	Cruise
Metridia_venusta	Copepoda	Calanoida	Metridinidae	Metridia	FG3	2.89083333333333	3.15	0	Free	Omnivore	Cruise
Metridia_sp	Copepoda	Calanoida	Metridinidae	Metridia	FG3	NA	NA	0	Free	Omnivore	Cruise
Microcalanus_pusillus	Copepoda	Calanoida	Clausocalanidae	Microcalanus	FG9	0.66	0.7	1	Free	Omnivore	Current
Microcalanus_pygmaeus	Copepoda	Calanoida	Clausocalanidae	Microcalanus	FG9	0.761851851851852	1.12	1	Free	Omnivore	Current
Microsetella_norvegica	Copepoda	Harpacticoida	Ectinosomatidae	Microsetella	FG3	0.489310344827586	0.76	0	Sac	Omnivore-Detritivore	Particles
Microsetella_rosea	Copepoda	Harpacticoida	Ectinosomatidae	Microsetella	FG3	0.740476190476191	1.3	0	Sac	Omnivore-Detritivore	Particles
Mimocalanus_cultrifer	Copepoda	Calanoida	Spinocalanidae	Mimocalanus	NA	1.536	1.95	1	Free	NA	NA
Mimocalanus_nudus	Copepoda	Calanoida	Spinocalanidae	Mimocalanus	NA	2.43857142857143	2.7	1	Free	NA	NA
Miracia_efferata	Copepoda	Harpacticoida	Miraciidae	Miracia	NA	1.71684210526316	2.2	0	Sac	NA	NA
Monothula_subtilis	Copepoda	Cyclopoida	Oncaeidae	Monothula	FG2	0.518	0.69	0	Sac	Omnivore-Detritivore	Cruise
Mormonilla_phasma	Copepoda	Mormonilloida	Mormonillidae	Mormonilla	NA	1.552	2.01	0	Free	NA	NA
Nannocalanus_minor	Copepoda	Calanoida	Calanidae	Nannocalanus	FG7	1.87727397260274	2.45	1	Free	Omnivore-Herbivore	Current
Neocalanus_cristatus	Copepoda	Calanoida	Calanidae	Neocalanus	FG6	8.91	10.4	1	Free	Omnivore-Herbivore	Current
Neocalanus_gracilis	Copepoda	Calanoida	Calanidae	Neocalanus	FG7	3.10963235294118	4.4	1	Free	Omnivore-Herbivore	Current
Neocalanus_plumchrus	Copepoda	Calanoida	Calanidae	Neocalanus	FG6	5.0075	6.32	1	Free	Omnivore-Herbivore	Current
Neocalanus_robustior	Copepoda	Calanoida	Calanidae	Neocalanus	FG7	3.89709677419355	4.65	1	Free	Omnivore-Herbivore	Current
Neocalanus_tonsus	Copepoda	Calanoida	Calanidae	Neocalanus	FG7	3.86875	4.6	1	Free	Omnivore-Herbivore	Current
Neocalanus_sp	Copepoda	Calanoida	Calanidae	Neocalanus	NA	NA	NA	1	Free	Omnivore-Herbivore	Current
Neomormonilla_minor	Copepoda	Mormonilloida	Mormonillidae	Neomormonilla	NA	1.18285714285714	1.38	0	NA	NA	NA
Neomormonilla_polaris	Copepoda	Mormonilloida	Mormonillidae	Neomormonilla	NA	1.45	1.56	0	NA	NA	NA
Neoscolecithrix_farrani	Copepoda	Calanoida	Scolecitrichidae	Neoscolecithrix	NA	2.10714285714286	2.37	1	Free	NA	NA
Nullosetigera_helgae	Copepoda	Calanoida	Nullosetigeridae	Nullosetigera	NA	2.382	2.9	0	Sac	NA	NA
Oculosetella_gracilis	Copepoda	Harpacticoida	Miraciidae	Oculosetella	NA	1.20166666666667	1.35	0	Sac	NA	NA
Oithona_atlantica	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	1.16571428571429	1.43	0	Sac	Omnivore	Ambush
Oithona_attenuata	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.7875	0.88	0	Sac	Omnivore	Ambush
Oithona_decipiens	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.65	0.81	0	Sac	Omnivore	Ambush
Oithona_fallax	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.859473684210526	1.01	0	Sac	Omnivore	Ambush
Oithona_frigida	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	1.26266666666667	1.4	0	Sac	Omnivore	Ambush
Oithona_longispina	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	1.1175	1.55	0	Sac	Omnivore	Ambush
Oithona_nana	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.5835	0.95	0	Sac	Omnivore	Ambush
Oithona_parvula	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	0.484166666666667	0.525	0	Sac	Omnivore	Ambush
Oithona_plumifera	Copepoda	Cyclopoida	Oithonidae	Oithona	FG10	1.2258064516129	1.9	0	Sac	Omnivore	Ambush
