Species_Name	Taxonomic Group	MFT (MIXOPLANKTON FUNCTIONAL CLASSIFICATION)	can form colonies	HABs	MIXOPLANKTON SIZE	Mode of feeding	ability to use NO3 
Pterocanium_aff._challengeri	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocanium_charybdeum	Radiolaria	eSNCM	no	not recorded	not recorded	not_recorded	not_recorded
Pterocanium_cf._depressum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocanium_eucolpum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocanium_korotnevi	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocanium_cf._orcinum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocanium_praetextum	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Pterocanium_trilobum	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocanium_virgineum	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Pterocorys_campanulata	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocorys_carinatus	Radiolaria	eSNCM	no	not recorded	not recorded	axopodia;engulfment	not_recorded
Pterocorys_clausus	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocorys_fastuosa	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocorys_trochus	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterocorys_zancleus	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Pterosperma_cristatum	Chlorophyta	CM	no	not recorded	nano	engulfment	yes
Pulleniatina_obliquiloculata	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Pyramimonas_gelidicola	Chlorophyta	CM	no	not recorded	nano	engulfment	yes
Pyramimonas_parkeae	Chlorophyta	CM	no	not recorded	nano	engulfment	yes
Pyramimonas_tychotreta	Chlorophyta	CM	no	not recorded	nano	engulfment	yes
Rhaphidozoum_acuferum	Radiolaria	eSNCM	yes	not recorded	meso	axopodia;engulfment	not_recorded
Rhizochromulina	Ochrophyta	CM	no	not recorded	nano	engulfment	yes
Scrippsiella_acuminata	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Shimiella_gracilenta	Dinoflagellata	pSNCM	no	not recorded	nano	feeding_tube	not_recorded
Sinophysis_canaliculata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Siphonosphaera_abyssi	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Siphonosphaera_socialis	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Siphonosphaera_tubulosa	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Sorites_marginalis	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Sorites_orbiculus	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Spatulodinium_pseudonoctiluca	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Sphaerozoum_armatum	Radiolaria	eSNCM	yes	not recorded	not recorded	axopodia;engulfment	not_recorded
Sphaerozoum_brandtii	Radiolaria	eSNCM	yes	not recorded	meso	axopodia;engulfment	not_recorded
Sphaerozoum_fuscum	Radiolaria	eSNCM	yes	not recorded	meso	axopodia;engulfment	not_recorded
Sphaerozoum_ovodimare	Radiolaria	eSNCM	yes	not recorded	meso	axopodia;engulfment	not_recorded
Sphaerozoum_punctatum	Radiolaria	eSNCM	yes	not recorded	micro	axopodia;engulfment	not_recorded
Sphaerozoum_strigulosum	Radiolaria	eSNCM	yes	not recorded	micro	axopodia;engulfment	not_recorded
Sphaerozoum_trigenimum	Radiolaria	eSNCM	yes	not recorded	micro	axopodia;engulfment	not_recorded
Spiniferodinium_galeiforme	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Spirostrombidium_pulchrum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Spirotontonia	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Spongaster_tetras_tetras	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Spongodiscus_biconcavus	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Spongodiscus_resurgens	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Spongodrymus	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Spongostaurina_lobus	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Spongotrochus_glacialis	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Strombidium_acutum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_antarcticum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_apolatum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_basimorphum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	no
Strombidium_biarmatum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_capitatum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_chlorophilum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_conicum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_dalum	Ciliophora	GNCM	no	not recorded	nano	filter_feeding	not_recorded
Strombidium_delicatissimum	Ciliophora	GNCM	no	not recorded	nano	filter_feeding	not_recorded
Strombidium_lingulum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_lynni	Ciliophora	GNCM	no	not recorded	nano	filter_feeding	not_recorded
Strombidium_oculatum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_purpureum	Ciliophora	eSNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_rassoulzadegani	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	yes
Strombidium_reticulatum	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_stylifer	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Strombidium_vestitum	Ciliophora	GNCM	no	not recorded	nano	filter_feeding	not_recorded
Strombidium_wulffi	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Styptosphaera	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Styptosphaera_spumacea	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Sulcochrysis_biplastida	Ochrophyta	CM	no	not recorded	nano	not_recorded	not_recorded
Symbiodinium	Dinoflagellata	CM	no	not recorded	nano	feeding_tube	yes
Synchroma_grande	Ochrophyta	CM	no	not recorded	micro	engulfment	yes
Takayama_helix	Dinoflagellata	CM	no	not recorded	micro	feeding_tube	yes
Takayama_tasmanica	Dinoflagellata	CM	no	not recorded	micro	feeding_tube	yes
Teleaulax_amphioxeia	Cryptophyceae	CM	no	not recorded	nano	engulfment	yes
Testudodinium_magnum	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Tetrapyle_octacantha	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Thalassicolla_caerulea	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Thalassicolla_melacapsa	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Thalassicolla_nucleata	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Thalassolampe_margarodes	Radiolaria	eSNCM	not recorded	not recorded	not recorded	axopodia;engulfment	not_recorded
Thalassophysa_pelagica	Radiolaria	eSNCM	no	not recorded	not recorded	axopodia;engulfment	not_recorded
Thalassophysa_sanguinolenta	Radiolaria	eSNCM	no	not recorded	not recorded	axopodia;engulfment	not_recorded
Thecadinium_kofoidii	Dinoflagellata	CM	no	not recorded	micro	feeding_tube	not_recorded
Tiarina	Ciliophora	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Tontonia_appendiculariformis	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Tontonia_ovalis	Ciliophora	GNCM	no	not recorded	micro	filter_feeding	not_recorded
Torodinium_teredo	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Trilobatus_sacculifer	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Triparma	Ochrophyta	CM	no	not recorded	nano	engulfment	yes
Tripos_arcticus	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Tripos_declinatus	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Tripos_furca	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Tripos_fusus	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Tripos_longipes	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Tripos_lunula	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Tripos_muelleri	Dinoflagellata	CM	no	not recorded	micro	not_recorded	yes
Tripos_teres	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Triposolenia_bicornis	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Triposolenia_truncata	Dinoflagellata	eSNCM	no	not recorded	micro	not_recorded	not_recorded
Turborotalita_humilis	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Xiphacantha_alata	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Xiphacantha_quaridentata	Radiolaria	eSNCM	no	not recorded	micro-meso	axopodia;engulfment	not_recorded
Yihiella_yeosuensis	Dinoflagellata	CM	no	not recorded	nano	not_recorded	yes
