Species_Name	Taxonomic Group	MFT (MIXOPLANKTON FUNCTIONAL CLASSIFICATION)	can form colonies	HABs	MIXOPLANKTON SIZE	Mode of feeding	ability to use NO3 
Dinotrix_rugata	Dinoflagellata	eSNCM	no	not recorded	nano	not_recorded	yes
Dinotrix_phymatodea	Dinoflagellata	eSNCM	no	not recorded	nano	not_recorded	no
Dinotrix_pseudoparadoxa	Dinoflagellata	eSNCM	no	not recorded	nano	not_recorded	no
Dinotrix_quadrilobata	Dinoflagellata	eSNCM	no	not recorded	nano	not_recorded	no
Dissodinium_pseudolunula	Dinoflagellata	CM	no	not recorded	micro	Tube_feeding	not_recorded
Dolichomastix_tenuilepis	Chlorophyta	CM	no	not recorded	nano	not_recorded	not_recorded
Dorataspis_loricata	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Durinskia_capensis	Dinoflagellata	pSNCM	no	not recorded	micro	Tube_feeding	not_recorded
Durinskia_agilis	Dinoflagellata	eSNCM	no	not recorded	nano	not_recorded	no
Durinskia_kwazulunatalensis	Dinoflagellata	eSNCM	no	not recorded	nano	not_recorded	no
Effrenium_voratum	Dinoflagellata	CM	no	not recorded	nano	feeding_tube	yes
Elphidium	Foraminifera	pSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Emiliania_huxleyi	Haptophyta	CM	no	not recorded	nano	engulfment	yes
Euchitonia_elegans-furcata	Radiolaria	eSNCM	no	not recorded	meso	axopodia;engulfment	not_recorded
Euplotes_uncinatus	Ciliophora	eSNCM	no	not recorded	micro	filter_feeding	not_recorded
Fibrocapsa_japonica	Ochrophyta	CM	no	yes	micro	not_recorded	yes
Florenciella	Ochrophyta	CM	no	not recorded	nano	not_recorded	yes
Fragilidium_duplocampanaeforme	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Fragilidium_heterolobum	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Fragilidium_mexicanum	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Fragilidium_subglobosum	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Gambierdiscus_toxicus	Dinoflagellata	CM	no	yes	micro	not_recorded	yes
Geminigera_cryophila	Cryptophyceae	CM	no	not recorded	nano	engulfment	yes
Globigerina_bulloides	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerina_cristata	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerina_falconensis	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinella_aequilateralis	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinella_siphonifera	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinita_glutinata	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinoides_conglobatus	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinoides_elongatus	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinoides_ruber	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globigerinoides_sacculifer	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globoquadrina_conglomerata	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globoquadrina_dutertrei	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globorotalia_hirsuta	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globorotalia_inflata	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globorotalia_menardii	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Globorotalia_tumida	Foraminifera	eSNCM	no	not recorded	micro-meso	engulfment_after_immobilization	not_applicable
Gonyaulax_alaskensis	Dinoflagellata	CM	no	not recorded	micro	not_recorded	yes
Gonyaulax_diegensis	Dinoflagellata	CM	no	not recorded	micro	not_recorded	yes
Gonyaulax_polygramma	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Gonyaulax_spinifera	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Grammatodinium_tongyeonginum	Dinoflagellata	CM	no	not recorded	micro	not_recorded	yes
Gymnodinium_aureolum	Dinoflagellata	CM	no	not recorded	micro	feeding_tube	yes
Gymnodinium_catenatum	Dinoflagellata	CM	no	yes	micro	engulfment	yes
Gymnodinium_flavum	Dinoflagellata	CM	no	yes*	micro	not_recorded	not_recorded
Gymnodinium_fulgens	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Gymnodinium_herbaceum	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Gymnodinium_impudicum	Dinoflagellata	CM	no	not recorded	micro	engulfment	yes
Gymnodinium_ravenescens	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Gymnodinium_smaydae	Dinoflagellata	CM	no	not recorded	nano	feeding_tube	yes
Gyrodinium_flavescens	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Gyrodinium_melo	Dinoflagellata	CM	no	not recorded	micro	not_recorded	not_recorded
Gyrodinium_vorax	Dinoflagellata	CM	no	not recorded	micro	engulfment	not_recorded
Haptolina_brevifila	Haptophyta	CM	no	not recorded	nano	engulfment	yes
Haptolina_ericina	Haptophyta	CM	no	not recorded	nano	engulfment	yes
Haptolina_hirta	Haptophyta	CM	no	not recorded	nano	engulfment	yes
Heliodiscus_astericus	Radiolaria	eSNCM	no	not recorded	micro	axopodia;engulfment	not_recorded
Herdmania_litoralis	Dinoflagellata	CM	no	not recorded	micro	not_recorded	yes
